train_44675	Security Protection for Magnetic Tunnel Junction	  Energy efficiency is one of the most important parameters for designing andbuilding a computing system nowadays. Introduction of new transistor and memorytechnologies to the integrated circuits design have brought hope for low energyvery large scale integration (VLSI) circuit design. This excellency is pleasantif the computing system is secure and the energy is not wasted throughexecution of malicious actions. In fact, it is required to make sure that theutilized transistor and memory devices function correctly and no error occursin the system operation. In this regard, we propose a built-in-self-testarchitecture for security checking of the magnetic tunnel junction (MTJ) deviceunder malicious process variations attack. Also, a general identificationtechnique is presented to investigate the behaviour and activities of theemployed circuitries within this MTJ testing architecture. The presentedidentification technique tries to find any abnormal behaviour using the circuitcurrent signal.Energy efficiency is one of the most important parameters for designing andbuilding a computing system nowadays. Introduction of new transistor and memorytechnologies to the integrated circuits design have brought hope for low energyvery large scale integration (VLSI) circuit design. This excellency is pleasantif the computing system is secure and the energy is not wasted throughexecution of malicious actions. In fact, it is required to make sure that theutilized transistor and memory devices function correctly and no error occursin the system operation. In this regard, we propose a built-in-self-testarchitecture for security checking of the magnetic tunnel junction (MTJ) deviceunder malicious process variations attack. Also, a general identificationtechnique is presented to investigate the behaviour and activities of theemployed circuitries within this MTJ testing architecture. The presentedidentification technique tries to find any abnormal behaviour using the circuitcurrent signal.	cs.CR
train_07902	A novel method for fatigue testing of MEMS devices containing movable  elements	  In this paper we present an electronic circuit for position or capacitanceestimation of MEMS electrostatic actuators based on a switched capacitortechnique. The circuit uses a capacitive divider configuration composed by afixed capacitor and the variable capacitance of the electrostatic actuator forgenerating a signal that is a function of the input voltage and capacitiveratio. The proposed circuit can be used to actuate and to sense position of anelectrostatic MEMS actuator without extra sensing elements. This approach iscompatible with the requirements of most analog feedback systems and thecircuit topology of pulsed digital oscillators (PDO).	cs.OH
train_04373	Active Improvement of Control Policies with Bayesian Gaussian Mixture  Model	  Learning from demonstration (LfD) is an intuitive framework allowingnon-expert users to easily (re-)program robots. However, the quality andquantity of demonstrations have a great influence on the generalizationperformances of LfD approaches. In this paper, we introduce a novel activelearning framework in order to improve the generalization capabilities ofcontrol policies. The proposed approach is based on the epistemic uncertaintiesof Bayesian Gaussian mixture models (BGMMs). We determine the new query pointlocation by optimizing a closed-form information-density cost based on thequadratic R\'enyi entropy. Furthermore, to better represent uncertain regionsand to avoid local optima problem, we propose to approximate the activelearning cost with a Gaussian mixture model (GMM). We demonstrate our activelearning framework in the context of a reaching task in a cluttered environmentwith an illustrative toy example and a real experiment with a Panda robot.	cs.RO
train_01315	Reference-Aware Language Models	  We propose a general class of language models that treat reference as anexplicit stochastic latent variable. This architecture allows models to creatementions of entities and their attributes by accessing external databases(required by, e.g., dialogue generation and recipe generation) and internalstate (required by, e.g. language models which are aware of coreference). Thisfacilitates the incorporation of information that can be accessed inpredictable locations in databases or discourse context, even when the targetsof the reference may be rare words. Experiments on three tasks shows our modelvariants based on deterministic attention.	cs.CL
train_24408	Situational Grounding within Multimodal Simulations	  In this paper, we argue that simulation platforms enable a novel type ofembodied spatial reasoning, one facilitated by a formal model of object andevent semantics that renders the continuous quantitative search space of anopen-world, real-time environment tractable. We provide examples for how asemantically-informed AI system can exploit the precise, numerical informationprovided by a game engine to perform qualitative reasoning about objects andevents, facilitate learning novel concepts from data, and communicate with ahuman to improve its models and demonstrate its understanding. We argue thatsimulation environments, and game engines in particular, bring together manydifferent notions of "simulation" and many different technologies to provide ahighly-effective platform for developing both AI systems and tools toexperiment in both machine and human intelligence.	cs.AI
train_10880	Ethically Aligned Opportunistic Scheduling for Productive Laziness	  In artificial intelligence (AI) mediated workforce management systems (e.g.,crowdsourcing), long-term success depends on workers accomplishing tasksproductively and resting well. This dual objective can be summarized by theconcept of productive laziness. Existing scheduling approaches mostly focus onefficiency but overlook worker wellbeing through proper rest. In order toenable workforce management systems to follow the IEEE Ethically Aligned Designguidelines to prioritize worker wellbeing, we propose a distributedComputational Productive Laziness (CPL) approach in this paper. Itintelligently recommends personalized work-rest schedules based on local dataconcerning a worker's capabilities and situational factors to incorporateopportunistic resting and achieve superlinear collective productivity withoutthe need for explicit coordination messages. Extensive experiments based on areal-world dataset of over 5,000 workers demonstrate that CPL enables workersto spend 70% of the effort to complete 90% of the tasks on average, providingmore ethically aligned scheduling than existing approaches.	cs.AI
train_29354	Lambda-Field: A Continuous Counterpart Of The Bayesian Occupancy Grid  For Risk Assessment And Safe Navigation	  In the context of autonomous robots, one of the most important tasks is toprevent potential damages on the robot during navigation. For this purpose, itis often assumed to deal with known probabilistic obstacles, then to computethe probability of collision to each obstacle. However, in complex scenarios orunstructured environments, it might be difficult to detect such obstacles. Inthis case, a metric map is used where each position stores the information ofoccupancy. The most common type of metric map is the bayesian occupancy map.However, this type of map is not well fitted to compute risk assessment forcontinuous paths due to its discrete nature. Hence, we introduce a novel typeof map called Lambda-Field, specially designed for risk assessment. We firstpropose a way to compute such a map and the expectancy of a generic risk over apath. Then, we demonstrate the utility of our generic formulation with a usecase defining the risk as the expected force of collision over a path. Usingthis risk definition and the Lambda-Field, we show that our framework iscapable of doing classical path planning while having a physical-based metric.Furthermore, the Lambda-Field gives a natural way to deal with unstructuredenvironments like tall grass. Where standard environment representations wouldgenerate trajectories going around such obstacles, our framework allows therobot to go through the grass while being aware of the risk taken.	cs.RO
train_00184	RePose: Learning Deep Kinematic Priors for Fast Human Pose Estimation	  We propose a novel efficient and lightweight model for human pose estimationfrom a single image. Our model is designed to achieve competitive results at afraction of the number of parameters and computational cost of variousstate-of-the-art methods. To this end, we explicitly incorporate part-basedstructural and geometric priors in a hierarchical prediction framework. At thecoarsest resolution, and in a manner similar to classical part-basedapproaches, we leverage the kinematic structure of the human body to propagateconvolutional feature updates between the keypoints or body parts. Unlikeclassical approaches, we adopt end-to-end training to learn this geometricprior through feature updates from data. We then propagate the featurerepresentation at the coarsest resolution up the hierarchy to refine thepredicted pose in a coarse-to-fine fashion. The final network effectivelymodels the geometric prior and intuition within a lightweight deep neuralnetwork, yielding state-of-the-art results for a model of this size on twostandard datasets, Leeds Sports Pose and MPII Human Pose.	cs.CV
train_13445	MetaFusion: Controlled False-Negative Reduction of Minority Classes in  Semantic Segmentation	  In semantic segmentation datasets, classes of high importance are oftentimesunderrepresented, e.g., humans in street scenes. Neural networks are usuallytrained to reduce the overall number of errors, attaching identical loss toerrors of all kinds. However, this is not necessarily aligned with humanintuition. For instance, an overlooked pedestrian seems more severe than anincorrectly detected one. One possible remedy is to deploy different decisionrules by introducing class priors which assigns larger weight tounderrepresented classes. While reducing the false-negatives of theunderrepresented class, at the same time this leads to a considerable increaseof false-positive indications. In this work, we combine decision rules withmethods for false-positive detection. We therefore fuse false-negativedetection with uncertainty based false-positive meta classification. We presentproof-of-concept results for CIFAR-10, and prove the efficiency of our methodfor the semantic segmentation of street scenes on the Cityscapes dataset basedon predicted instances of the 'human' class. In the latter we employ anadvanced false-positive detection method using uncertainty measures aggregatedover instances. We thereby achieve improved trade-offs between false-negativeand false-positive samples of the underrepresented classes.	cs.CV
train_04708	Safeguarding the Evidential Value of Forensic Cryptocurrency  Investigations	  Analyzing cryptocurrency payment flows has become a key forensic method inlaw enforcement and is nowadays used to investigate a wide spectrum of criminalactivities. However, despite its widespread adoption, the evidential value ofobtained findings in court is still largely unclear. In this paper, we focus onthe key ingredients of modern cryptocurrency analytics techniques, which areclustering heuristics and attribution tags. We identify internationallyaccepted standards and rules for substantiating suspicions and providingevidence in court and project them onto current cryptocurrency forensicspractices. By providing an empirical analysis of CoinJoin transactions, weillustrate possible sources of misinterpretation in algorithmic clusteringheuristics. Eventually, we derive a set of legal key requirements and translatethem into a technical data sharing framework that fosters compliance withexisting legal and technical standards in the realm of cryptocurrencyforensics. Integrating the proposed framework in modern cryptocurrencyanalytics tools could allow more efficient and effective investigations, whilesafeguarding the evidential value of the analysis and the fundamental rights ofaffected persons.	cs.CY
